[INFO 10:48:54 AM] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 10:48:54 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:48:54 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:48:54 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:51:43 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:51:43 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:51:43 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:51:43 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:51:43 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:51:43 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:51:49 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:51:49 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:51:49 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:51:53 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:51:53 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:51:53 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:51:54 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:51:54 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:51:54 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
