2026-01-06 11:48:21.829 [info] Reading sessions from keychain...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got stored sessions!
2026-01-06 11:48:21.829 [info] Got 1 verified sessions.
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
2026-01-06 11:48:21.829 [info] Getting sessions for all scopes...
2026-01-06 11:48:21.829 [info] Got 1 sessions for ...
